,Start_interval,Lactose,Whey central,Whey west
213,2019-05-20,0.3300492610837439,0.365,0.36
214,2019-05-27,0.3201970443349754,0.365,0.36
215,2019-06-03,0.3201970443349754,0.35875,0.355
216,2019-06-10,0.3103448275862069,0.355,0.355
217,2019-06-17,0.3054187192118227,0.3525,0.355
218,2019-06-24,0.3054187192118227,0.3525,0.355
219,2019-07-01,0.3054187192118227,0.3525,0.355
220,2019-07-08,0.3054187192118227,0.3525,0.35
221,2019-07-15,0.30295566502463056,0.35125,0.3375
222,2019-07-22,0.30295566502463056,0.35,0.33625
223,2019-07-29,0.30295566502463056,0.35,0.34
224,2019-08-05,0.29802955665024633,0.35,0.34
225,2019-08-12,0.29064039408867,0.35,0.34
226,2019-08-19,0.29064039408867,0.35,0.34
227,2019-08-26,0.28817733990147787,0.35,0.3625
228,2019-09-02,0.28817733990147787,0.36,0.36375
229,2019-09-09,0.28817733990147787,0.35,0.36375
230,2019-09-16,0.28817733990147787,0.36,0.36375
231,2019-09-23,0.28817733990147787,0.35375,0.36375
232,2019-09-30,0.2758620689655173,0.345,0.36
233,2019-10-07,0.2758620689655173,0.3325,0.35
234,2019-10-14,0.2758620689655173,0.33,0.345
235,2019-10-28,0.2758620689655173,0.325,0.345
237,2019-11-04,0.28078817733990147,0.3025,0.3025
238,2019-11-11,0.2857142857142857,0.3025,0.3025
239,2019-11-18,0.2857142857142857,0.3075,0.30375
240,2019-11-25,0.2857142857142857,0.3075,0.31375
241,2019-12-02,0.2857142857142857,0.3425,0.345
242,2019-12-09,0.2857142857142857,0.3425,0.34875
243,2019-12-16,0.2857142857142857,0.34,0.34875
244,2019-12-23,0.2857142857142857,0.34,0.34875
245,2018-01-01,0.21674876847290642,0.265,0.27
246,2018-01-08,0.21674876847290642,0.2575,0.265
247,2018-01-15,0.20935960591133007,0.24875,0.2625
248,2018-01-22,0.20935960591133007,0.2425,0.26
249,2018-01-29,0.20935960591133007,0.2425,0.26
250,2018-02-05,0.2142857142857143,0.24,0.24
251,2018-02-12,0.2142857142857143,0.24,0.24
252,2018-02-19,0.2142857142857143,0.24,0.24
253,2018-02-26,0.2142857142857143,0.235,0.24
254,2018-03-05,0.2044334975369458,0.235,0.25
255,2018-03-12,0.20935960591133007,0.235,0.25
256,2018-03-19,0.2142857142857143,0.24,0.25375
257,2018-03-26,0.22167487684729067,0.24,0.25375
258,2018-04-02,0.2266009852216749,0.24,0.26125
259,2018-04-09,0.2266009852216749,0.24,0.26125
260,2018-04-16,0.2266009852216749,0.2375,0.26375
261,2018-04-23,0.2266009852216749,0.245,0.26375
262,2018-04-30,0.23645320197044337,0.25,0.28
263,2018-05-07,0.24630541871921185,0.25,0.28
264,2018-05-14,0.2512315270935961,0.2575,0.295
265,2018-05-21,0.2536945812807882,0.28125,0.2975
266,2018-05-28,0.2561576354679803,0.28125,0.31375
267,2018-06-04,0.2623152709359606,0.30875,0.3225
268,2018-06-11,0.2623152709359606,0.31375,0.3225
269,2018-06-18,0.2758620689655173,0.3225,0.325
270,2018-06-25,0.2758620689655173,0.3225,0.325
271,2018-07-02,0.29064039408867,0.3225,0.325
272,2018-07-09,0.29064039408867,0.3225,0.325
273,2018-07-16,0.29802955665024633,0.3375,0.345
274,2018-07-23,0.3103448275862069,0.35,0.3625
275,2018-07-30,0.3152709359605912,0.3575,0.37125
276,2018-08-06,0.3152709359605912,0.37375,0.3825
277,2018-08-13,0.3201970443349754,0.37875,0.39
278,2018-08-20,0.3201970443349754,0.39,0.40625
279,2018-08-27,0.3201970443349754,0.4,0.40625
280,2018-09-03,0.32512315270935965,0.41,0.41375
281,2018-09-10,0.3300492610837439,0.425,0.435
282,2018-09-17,0.3300492610837439,0.425,0.435
283,2018-09-24,0.3300492610837439,0.43125,0.435
284,2018-10-01,0.3349753694581281,0.435,0.4525
285,2018-10-08,0.34236453201970446,0.435,0.4575
286,2018-10-15,0.34236453201970446,0.4375,0.4575
287,2018-10-22,0.34236453201970446,0.455,0.475
288,2018-10-29,0.34236453201970446,0.455,0.475
289,2018-11-05,0.34236453201970446,0.455,0.4625
290,2018-11-12,0.3448275862068966,0.455,0.45625
291,2018-11-19,0.3448275862068966,0.455,0.45625
292,2018-11-26,0.3448275862068966,0.455,0.4563
293,2018-12-03,0.3497536945812808,0.455,0.44
294,2018-12-10,0.3497536945812808,0.455,0.445
295,2018-12-17,0.3497536945812808,0.455,0.445
296,2018-12-24,0.35467980295566504,0.455,0.445
297,2017-01-02,0.36453201970443355,0.39,0.415
298,2017-01-09,0.36453201970443355,0.41,0.4475
299,2017-01-16,0.36453201970443355,0.41625,0.455
300,2017-01-23,0.36453201970443355,0.425,0.45875
301,2017-01-30,0.3694581280788178,0.43,0.46875
302,2017-02-06,0.3694581280788178,0.445,0.48375
303,2017-02-13,0.3694581280788178,0.46125,0.495
304,2017-02-20,0.3694581280788178,0.47375,0.495
305,2017-02-27,0.3694581280788178,0.48,0.495
306,2017-03-06,0.3694581280788178,0.485,0.5
307,2017-03-13,0.3694581280788178,0.485,0.49
308,2017-03-20,0.3694581280788178,0.485,0.49
309,2017-03-27,0.37931034482758624,0.48,0.49
310,2017-04-03,0.394088669950739,0.49875,0.5
311,2017-04-10,0.394088669950739,0.495,0.5
312,2017-04-17,0.394088669950739,0.495,0.5
313,2017-04-24,0.3990147783251232,0.485,0.495
314,2017-05-01,0.4039408866995074,0.485,0.475
315,2017-05-08,0.4039408866995074,0.5,0.475
316,2017-05-15,0.4039408866995074,0.4975,0.465
317,2017-05-22,0.4039408866995074,0.49,0.46
318,2017-05-29,0.4039408866995074,0.485,0.46
319,2017-06-05,0.4039408866995074,0.47375,0.45
320,2017-06-12,0.4039408866995074,0.455,0.445
321,2017-06-19,0.394088669950739,0.45,0.44
322,2017-06-26,0.38916256157635476,0.4425,0.44
323,2017-07-03,0.3842364532019705,0.4375,0.4375
324,2017-07-10,0.3842364532019705,0.4375,0.4325
325,2017-07-17,0.374384236453202,0.43,0.425
326,2017-07-24,0.3694581280788178,0.425,0.425
